Depth,Qc,Fc,u
6.790061,4.3504,0.0161,0.0152
6.800061,4.3504,0.0161,0.0152
6.810061,4.4318,0.0169,0.029
6.820061,4.4047,0.017,0.033
6.830061,4.269,0.017,0.0328
6.840062,4.0713,0.0169,0.0339
6.850062,3.8426,0.0167,0.0351
6.860062,3.8426,0.0165,0.0351
6.870062,3.614,0.0165,0.037
6.880063,3.614,0.0165,0.037
6.890063,3.1837,0.0161,0.0414
6.900063,2.9938,0.0158,0.0444
6.910063,2.8465,0.0158,0.0452
6.920063,2.7109,0.0148,0.0467
6.930064,2.6062,0.0148,0.0525
6.940064,2.5287,0.0148,0.0561
6.950064,2.4357,0.0148,0.0568
6.960064,2.4357,0.0149,0.0568
6.970065,2.3465,0.0148,0.057
6.980065,2.3058,0.0147,0.0574
6.990065,2.3033,0.0145,0.0577
7.000065,2.3045,0.014,0.0586
7.010066,2.3058,0.0138,0.0591
7.020066,2.3581,0.0135,0.0567
