Depth,Qc,Fc,u
5.77,0.379,0.0114,0.0128
5.78,0.379,0.0132,0.0132
5.79,0.381,0.0147,0.0138
5.8,0.404,0.0152,0.0142
5.81,0.415,0.0154,0.0146
5.82,0.423,0.0154,0.0148
5.83,0.434,0.0152,0.015
5.84,0.454,0.015,0.0153
5.85,0.465,0.0143,0.0155
5.86,0.477,0.0131,0.0157
5.87,0.477,0.0128,0.0159
5.88,0.469,0.0117,0.0159
5.89,0.45,0.0111,0.016
5.9,0.4,0.0108,0.0161
5.91,0.315,0.0108,0.0169
5.92,0.292,0.0108,0.0177
5.93,0.273,0.0113,0.0182
5.94,0.273,0.0111,0.0188
5.95,0.265,0.0109,0.0194
5.96,0.254,0.0105,0.0196
5.97,0.25,0.009,0.0202
5.98,0.256,0.0085,0.0208
5.99,0.262,0.0085,0.0211
6,0.276,0.0084,0.0219
6.01,0.306,0.0084,0.056
6.02,0.365,0.0083,0.0353
6.03,0.346,0.008,0.0397
6.04,0.327,0.0078,0.0421
6.05,0.315,0.0072,0.0434
6.06,0.308,0.0067,0.0444
6.07,0.277,0.0064,0.0453
6.08,0.265,0.0054,0.0469
6.09,0.258,0.005,0.0477
6.1,0.25,0.0043,0.0486
6.11,0.246,0.0036,0.0494
6.12,0.246,0.0031,0.0504
6.13,0.245,0.0027,0.0513
6.14,0.245,0.0024,0.0523
6.15,0.246,0.002,0.0537
6.16,0.246,0.002,0.0537
6.17,0.254,0.002,0.0544
6.18,0.254,0.002,0.0552
6.19,0.254,0.002,0.0566
6.2,0.246,0.0021,0.057
6.21,0.235,0.0021,0.0575
6.22,0.231,0.0021,0.0579
6.23,0.223,0.0021,0.0585
6.24,0.226,0.0021,0.0589
6.25,0.23,0.0022,0.0591
6.26,0.238,0.0022,0.0591
6.27,0.258,0.0022,0.0732
6.28,0.296,0.0022,0.0732
6.29,0.292,0.0022,0.0755
6.3,0.265,0.0023,0.0753
6.31,0.265,0.0024,0.0765
6.32,0.265,0.0024,0.0781
6.33,0.265,0.0023,0.0788
6.34,0.271,0.0021,0.0792
6.35,0.277,0.0018,0.0806
6.36,0.285,0.0012,0.0812
6.37,0.377,0.0011,0.0796
6.38,0.469,0.0006,0.08
6.39,0.55,0.0004,0.0721
6.4,0.565,0.0004,0.0684
6.41,0.515,0.0004,0.0666
6.42,0.461,0.0003,0.0658
6.43,0.434,0.0002,0.0658
6.44,0.425,0.0001,0.0659
6.45,0.42,0.0001,0.0659
6.46,0.415,0.0001,0.0667
6.47,0.423,0.0001,0.0676
6.48,0.331,0.0001,0.0684
6.49,0.304,0.0001,0.0701
6.5,0.254,0.0002,0.074
6.51,0.242,0.0003,0.074
6.52,0.238,0.0003,0.075
6.53,0.236,0.0003,0.0755
6.54,0.235,0.0002,0.0759
6.55,0.235,0.0002,0.0761
