File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_57279.csv,0.1,95.5,0.1,18.4992,0.0213,-0.0002,-0.108919748,-0.305630042,-0.32602146,0.618152033,0.030802454
SCPT_57279.csv,0.5,95.5,0.5,6.5466,0.0935,-0.0007,-0.403896516,-0.60060681,-1.041754127,0.19753474,-0.561001421
SCPT_57279.csv,1,64,1,1.8863,0.0137,-0.0614,-0.518545479,-0.715255773,-1.049657507,-0.056813078,-0.877729261
SCPT_57279.csv,1.5,75,1.5,1.1857,0.0185,-0.0572,-0.345265067,-0.541975361,-0.944012628,0.03099842,-0.857319939
SCPT_57279.csv,2,80,2,0.7783,0.0847,-0.055,-0.34207779,-0.538788084,-1.090684689,-0.050089677,-1.060224589
SCPT_57279.csv,2.5,83,2.5,0.2018,0.0299,0.0466,0.091092283,-0.105618012,-0.550780261,0.205490962,-0.93451373
SCPT_57279.csv,3,68,3,0.3698,0.0438,0.0859,-0.306274396,-0.50298469,-0.904631094,-0.163433356,-1.234086851
SCPT_57279.csv,3.5,52,3.5,0.1455,0.0167,0.0819,-0.272013394,-0.468723688,-0.616490729,-0.260199331,-1.409099079
SCPT_57279.csv,4,72,4,0.1002,0.0107,0.0926,0.191491488,-0.005218806,0.426294148,0.118763172,-1.056828415
SCPT_57279.csv,4.5,84,4.5,2.3438,0.0242,0.0141,-0.511928469,-0.708638763,-0.742678633,-0.281506801,-1.061898468
SCPT_57279.csv,5,105,5,4.2577,0.0228,-0.0732,-0.391507085,-0.58821738,-0.52584091,-0.16866893,-0.862081626
SCPT_57279.csv,5.5,109,5.5,7.0286,0.022,-0.0436,-0.421850776,-0.61856107,-0.504879637,-0.226994242,-0.847873531
SCPT_57279.csv,6,97,6,4.0022,0.0213,-0.0256,-0.478017334,-0.674727629,-0.575478512,-0.284043832,-0.978153453
SCPT_57279.csv,6.5,95,6.5,2.8002,0.0431,-0.0698,-0.517773418,-0.714483712,-0.683473866,-0.334199429,-1.10822148
SCPT_57279.csv,7,128,7,1.7553,0.0517,-0.0507,-0.159208747,-0.355919042,-0.369822211,-0.004493307,-0.849012769
SCPT_57279.csv,7.5,117.5,7.5,2.0735,0.0484,-0.0504,-0.279299258,-0.476009552,-0.441822392,-0.127780888,-0.944718186
SCPT_57279.csv,8,172,8,4.6576,0.0324,-0.0675,-0.0006054,-0.197315694,-0.054834231,0.152111112,-0.533804449
SCPT_57279.csv,8.5,172.5,8.5,9.8912,0.046,-0.0527,-0.124188561,-0.320898855,-0.17108532,0.000617234,-0.59737578
SCPT_57279.csv,9,177,9,25.426,0.1895,0.055,-0.367714481,-0.564424775,-0.485380331,-0.242981621,-0.777118092
SCPT_57279.csv,9.5,213,9.5,39.3345,0.1086,0.0762,-0.060834733,-0.257545027,-0.231184249,-0.089493793,-0.536510216
SCPT_57279.csv,10,243.5,10,54.1078,0.0359,0.0957,0.302110008,0.105399714,-0.024679282,0.076028784,-0.274120893
SCPT_57279.csv,10.5,259,10.5,47.6878,0.1087,0.1011,0.148900681,-0.047809613,-0.067519327,0.05041191,-0.36784013
SCPT_57279.csv,11,269,11,74.1119,0.1515,0.4718,0.191191792,-0.005518502,-0.141980688,-0.015682498,-0.388148238
SCPT_57279.csv,11.5,253,11.5,81.0449,0.2659,0.1043,-0.043221313,-0.239931608,-0.33573972,-0.148929875,-0.534507693
SCPT_57279.csv,12,227,12,60.3911,0.1149,0.1182,0.035992611,-0.160717683,-0.256398235,-0.157199828,-0.542460397
SCPT_57279.csv,12.5,192.5,12.5,28.1954,0.1515,0.1253,-0.282952796,-0.47966309,-0.376629082,-0.246671315,-0.747953819
SCPT_57279.csv,13,202,13,17.3635,0.1053,0.0319,-0.166823467,-0.363533761,-0.201459287,-0.109400486,-0.658827294
SCPT_57279.csv,13.5,193,13.5,14.0572,0.078,0.0581,-0.161239118,-0.357949412,-0.168011289,-0.110143201,-0.673376365
SCPT_57279.csv,14,235,14,19.8311,0.1261,0.0651,-0.059168185,-0.25587848,-0.097578169,-0.012781297,-0.550676151
