NZTM_X NZTM_Y Vs30
1762324 5906334 179.27
1762306 5906346 179.29
1874090.53 5821323.75 179.34
1773948.33 5895185.49 179.35
1882516.35 5775763.73 179.37
1772977.52 5891055.6 179.37
1867676.86 5828438.64 179.39
1762156.72 5431448 179.42
1869398.41 5827501.47 179.46
1756707.93 5921618.47 179.46
1884193 5785399 179.48
1887651.91 5822624.43 179.51
1762253.71 5906403.76 179.51
1763241 5906397 179.55
1781429.75 5904035.48 179.6
1763321.2 5907619.6 179.62
1746385.28 5914150.7 179.66
1691320.88 5674900.59 179.66
1837213 5860290 179.67
1745517.26 5920268.52 179.81
2035495.43 5710730.82 179.82
1860018.42 5856533.37 179.83
1875618 5820058.55 179.85
1764981.16 5905877.58 179.91
1798068.8 5814125.32 179.92
1773244 5892460 179.97
1884375.72 5772233.64 179.99
1764728 5910582 180.02
2035422.84 5710784.62 180.02
1880953.52 5780294.54 180.03
1767903 5915462 180.03
1891497.84 5820148.47 180.03
1769637 5907320 180.07
1795918 5818057 180.15
1787482 5852259 180.23
1871964.47 5822644.87 180.23
1258109 5005219 180.24
1755900.03 5925977.3 180.27
1982215.41 5670450.05 180.27
