NZTM_X,NZTM_Y,Vs30,xcoord,ycoord
1950739,5791912,214.61,176.9915154,-37.95270401
1950734,5791818,220.69,176.9915044,-37.9535511
1950731,5791749,230.16,176.991504,-37.95417264
1950728,5792045,225.35,176.9913257,-37.95151244
1950710.43,5791395.06,204.95,176.9914429,-37.95736287
1950696.85,5791408.88,225.83,176.991282,-37.95724385
1950695,5791783,230,176.9910786,-37.95388083
1950675,5792220,211.78,176.9906386,-37.94995945
1950638,5791765,246.4,176.9904402,-37.95406466
1950634,5791882,239.59,176.9903378,-37.95301425
1950587.54,5791475.15,224.86,176.9900084,-37.95669018
1950568,5791962,234.55,176.9895494,-37.95232042
1950561.94,5792239.3,253.07,176.9893455,-37.94982953
1950561.61,5792250.83,250.93,176.9893362,-37.94972599
1950538,5791853,232.21,176.9892618,-37.95331202
1950523,5791746,239.84,176.9891436,-37.95427985
1950513.89,5791472.31,245.11,176.9891734,-37.95674413
1950432.01,5791389.36,260.05,176.9882841,-37.95752151
1950421.02,5791382.1,262.92,176.9881628,-37.95759102
1950384.12,5771165.5,249.81,176.997632,-38.13937057
1950337.33,5793463.52,272.9,176.9861996,-37.938909
1950332.24,5789709.86,169.07,176.9879691,-37.97266049
