depth_input,A07-H
15.01,0.085139238
15.51,-0.049787445
16,-0.009371401
0.51,1.138847016
1.01,-0.490163641
1.51,0.38248815
2.01,0.313562987
2.51,0.751839271
3.01,0.534958404
3.51,0.436711524
4.01,0.440690118
4.51,0.529196638
5.01,0.721142475
5.51,0.552605963
6.01,0.466803419
7.01,0.421947877
7.51,0.134501501
8.01,0.490385725
11.51,0.50568223
12.01,0.356343372
12.51,0.27961036
13.01,0.609541703
13.51,0.818492269
14.01,0.554453065
14.51,0.534276552
15,0.408974351
0.51,0.45726648
1.01,0.268966357
1.51,0.156171738
2.01,0.110496965
2.51,0.324898659
3.01,0.055875899
3.51,-0.03716449
4.01,0.037413349
4.51,0.098603678
5.01,0.102403677
5.51,0.164354454
6.01,0.113302248
6.51,0.107082998
7.01,0.122254038
7.51,0.030812808
8.01,0.153685286
8.51,0.138426572
9.01,0.060861358
9.51,0.027038143
10.01,0.12436532
10.51,-0.20881349
11.01,0.125776224
11.51,0.539194521
12.01,0.464509701
12.51,-0.280682353
13.01,-0.21999078
13.51,0.094474503
14.01,-0.210422861
14.51,-0.101204937
15.01,-0.187621821
15.51,-0.075511781
16.01,-0.381229994
16.51,0.268990076
17.01,-0.277175586
17.51,-0.040581623
18.01,-0.341130052
18.51,-0.291931835
19.01,0.167329977
19.51,-0.133475492
20.01,0.084533753
20.51,-0.137818131
21.01,-0.246676045
21.51,-0.165506939
22.01,-0.364993312
22.51,-0.139319466
23.01,-0.152726478
23.51,-0.208052448
24.01,-0.290009754
24.51,-0.175749205
25.01,-0.338719426
25.51,-0.198357088
26.01,-0.176708038
26.51,-0.247346099
27,0.446651338
0.51,-0.038969853
1.01,-0.368599187
1.51,-0.445617621
2.01,0.280266744
2.51,-0.043811388
3.01,0.038285211
3.51,0.237009385
4.01,0.133919074
4.51,-0.145609759
5.01,0.120536971
5.51,0.051017547
6.01,0.038547159
6.51,0.040438561
7.01,0.212074889
7.51,0.788695078
8.01,-0.103254066
8.51,-0.158832253
9.01,-0.229357857
9.51,-0.031816712
10.01,0.030672029
10.51,-0.184041601
11.01,-0.099720071
11.51,-0.099250543
12.01,-0.337559541
12.51,0.050158138
13.01,0.152586677
13.51,0.276511339
14.01,0.318915527
14.51,0.306334899
15.01,0.384175255
15.51,0.259899265
16.01,0.486300197
16.51,0.366334177
17.01,0.339040362
17.51,0.523723465
18.01,0.484375123
18.51,0.182956289
19,0.256849144
0.51,-0.102810553
1.01,0.173260819
1.51,-0.038261231
2.01,-0.20709683
2.51,0.157086581
3.01,0.088907185
3.51,-0.143289708
4.01,0.274038142
4.51,0.192392173
5.01,-0.041880695
5.51,0.030578987
6.01,0.889374248
6.51,-0.078391202
7.01,0.123717116
7.51,0.082059554
8.01,0.073430573
8.51,0.339907858
9.01,-0.210660131
9.51,-0.036412903
10.01,0.027268483
10.51,-0.093443248
11.01,-0.064210235
11.51,-0.165017611
12.01,0.086327852
12.51,0.176248966
13.01,0.176321837
13.51,0.444066788
14.01,0.095069465
14.51,0.073871168
15.01,0.19255885
15.51,0.01313924
16.01,0.108270163
16.51,0.266182576
17.01,0.076485511
17.51,0.262590028
18.01,0.239792788
18.51,0.198768167
19.01,0.245950272
19.51,0.137274572
20.01,0.290253962
20.51,0.265903882
21.01,0.218239736
21.51,0.601193381
22.01,0.441267492
22.51,0.142810367
23.01,0.121892771
23.51,0.19199328
24.01,-0.029544597
24.51,0.207805112
25,0.283889682
0.51,0.301747974
1.01,0.165454857
1.51,1.406876536
2.01,0.648019483
2.51,0.022654198
3.01,-0.145984917
3.51,0.210899986
4.01,0.371608525
4.51,0.27799369
5.01,0.214734228
5.51,0.566579858
6.01,0.382102988
6.51,0.416843789
7.01,0.096453767
7.51,-0.027273295
8.01,-0.058604454
8.51,0.026196375
9.01,-0.063834128
9.51,0.213338611
10.01,0.213146211
10.51,0.145870918
11.01,0.184389786
11.51,0.170752291
12.01,-0.133926196
12.51,-0.204913898
13.01,-0.139980156
13.51,0.125009406
14.01,-0.033771773
14.51,-0.308161652
15.01,-0.276129866
15.51,0.081498009
16.01,0.189643303
16.51,0.659014031
17.01,0.748460681
17.51,0.4432893
18.01,0.23359489
18.51,0.407008255
19.01,0.440440246
19.51,0.262375752
20.01,0.187609683
20.51,-0.210678924
21.01,-0.018016401
21.51,-0.131021246
22.01,-0.207181215
22.51,-0.198238549
23.01,-0.017904828
23.51,-0.198155534
24.01,0.008444023
24.51,0.132369168
25.01,0.138745209
25.51,0.034850782
26.01,-0.135117246
26.51,-0.054090769
27.01,0.160111927
27.51,-0.047401344
28,0.099827803
0.51,0.329914888
1.01,0.455837273
1.51,0.321414523
2.01,0.271440855
2.51,0.142424488
3.01,-0.137611331
3.51,0.616716994
4.01,0.031288783
4.51,-0.016352505
5.01,0.0201567
5.51,0.039837785
6.01,-0.116832714
6.51,0.094324189
7.01,-0.156435944
7.51,0.004747553
8.01,-0.027948086
8.51,0.032867923
9.01,-0.076301626
9.51,-0.024092613
10.01,-0.112614639
10.51,-0.176541625
11.01,0.041991722
11.51,0.272381666
12.01,-0.03685306
12.51,-0.115301418
13.01,-0.022304308
13.51,-0.003238573
14.01,-0.03002533
14.51,0.022366694
15.01,-0.095775803
15.51,-0.030931568
16.01,-0.184092074
16.51,-0.251072011
17.01,-0.189631214
17.51,-0.220750451
18.01,-0.172070894
18.51,-0.157584581
19.01,-0.092619086
19.51,-0.135575101
20.01,-0.277744862
20.51,-0.191284848
21.01,-0.206205796
21.51,-0.199441349
22.01,-0.170898782
22.51,-0.224100263
23.01,-0.138609397
23.51,-0.208448117
24.01,-0.278361531
24.51,-0.138499806
25.01,-0.315043332
25.51,-0.240533116
26.01,-0.189544252
26.51,-0.211190069
27.01,0.416868241
27.51,0.239938525
28,-0.026602227
0.51,1.176294283
1.01,0.762491833
1.51,0.361900544
2.01,-0.194061717
2.51,-0.141173776
3.01,0.251330369
3.51,0.382262925
4.01,0.06317454
4.51,0.075957684
5.01,0.108561956
5.51,0.097516275
6.01,0.031528282
6.51,0.107396809
7.01,0.01529644
7.51,0.173927944
8.01,0.122936252
8.51,0.064245442
9.01,0.192975709
9.51,0.196653594
10.01,0.156982212
10.51,0.151150838
11.01,-0.096456259
11.51,-0.024947446
12.01,0.13475007
12.51,-0.041822573
13.01,0.007320344
13.51,-0.1679239
14.01,-0.3268893
14.51,-0.159402848
15.01,0.386451109
15.51,-0.196471556
16.01,0.565577519
16.51,-0.133215657
17.01,-0.240665706
17.51,0.13047164
18.01,0.321350539
18.51,0.043382582
19.01,0.11416224
19.51,0.039621915
20.01,0.211664938
20.51,0.098384392
21.01,0.152994573
21.51,0.473768213
22.01,0.248854776
22.51,0.236856342
23.01,0.359918345
23.51,0.168376018
24.01,0.085485034
24.51,0.237624308
25.01,0.15525519
25.51,0.256609593
26.01,0.15685693
26.51,0.71109506
27,0.62671467
0.51,0.716140102
1.01,-0.275909037
1.51,1.3193797
2.01,-0.228585108
2.51,-0.09545859
3.01,0.890565162
3.51,-0.223764874
4.01,-0.245022084
4.51,-0.042589686
5.01,0.053131268
5.51,-0.634953812
6.01,-0.244559201
7.01,-0.267621483
7.51,0.06996298
8.01,0.279893292
11.51,0.49629249
12.01,0.371306245
12.51,0.258104155
13.01,0.426441633
13.51,0.607386696
14.01,0.369425147
14.51,0.482983257
15,0.616613716
0.51,0.098939191
1.01,0.325240234
1.51,0.783231297
2.01,0.440437542
2.51,0.374979352
3.01,0.739081305
3.51,0.9881557
4.01,0.512174054
4.51,0.339865022
5.01,0.24594371
5.51,0.553309939
6.01,0.59484947
6.51,0.253648881
7.01,0.133776905
7.51,0.297362182
8.01,0.008547968
